水仙的追迹·第一幕 藻海的寻踪

藻海的寻踪
过了一段时间，回水仙十字结社确认一下大家的调查进展吧。
安: 骑士、派蒙，你们回来了！
派蒙: 嗯嗯，这段时间有没有什么新的发现啊？
安: 我和卡特皮拉先生一起研究了一下子——
派蒙: 哦哦！
安: 西摩尔好像真的没有广域歼灭模式。
西摩尔: 整理碎片后发现，该词条的出处可能是小说《囚人六号：超转》。
西摩尔: 本卷中，为了追猎合成兽，世界机关投放了广域歼灭型特工…
派蒙: 这种事根本都不重要吧！
卡特皮拉: 我出门调查的闲暇之余，也把结社的藏书重新翻看了一遍。
卡特皮拉: 当初看不懂，如今觉得…呃，写得真好。
卡特皮拉: 不知道是谁的手笔，或者雇了哪里的抄写员。字体娟秀而且清晰。真是书法大师。
派蒙: 结果是字写得好吗？！
派蒙: 我有种不好的预感，难道说这段时间其实没有什么发现吗？
卡特皮拉: 好了，不开玩笑了。
卡特皮拉: 我们之前也毫无保留地与你分享了我们的所知。
卡特皮拉: 不过可能仍然有些细枝末节的线索，需要一些契机才能显露出自己的意义。
旅行者(空): 意义？
旅行者(空): 契机？
卡特皮拉: 没错。如果凶杀案没有暴露，画上的血也就永远只是一抹红而已。
派蒙: 那契机是什么呢？
卡特皮拉: 比如说，我们来一场事件的还原怎么样？
卡特皮拉: 推理一下之前发生了什么事情。这样或许可以让我们想起遗漏的细节，去支持或者反驳。
安: 这是个好点子。我自己就一直处于一种有熟悉感却什么也想不起来的状态。
西摩尔: 否定的。我可以把整理出来的资料源源不断地讲述——
安: 笨狗。最后还不是靠我们的交流你才补全了发明者的名字。
西摩尔: （机械噪音）…否定的。只是借此匹配了相近音频，并不存在丢失。
西摩尔: 不过修正一下，我也判断通过触发关键词的方式跳表检索词条更有效率。
旅行者(空): 那么推理些什么呢？
卡特皮拉: 作为热身，或者说热脑——
西摩尔: 您或许是在指：「暖机」。
卡特皮拉: 是的，是这个意思——我们可以推理一个相对简单的问题。
卡特皮拉: 安眠处的「玛丽安」究竟是个什么？
安: 欸！
卡特皮拉: 你也看得出来吧。那位「玛丽安」身上隐藏着最大的秘密。
卡特皮拉: 让我们找个安乐椅，或者开一些啤酒——哦，你还不能喝酒。
卡特皮拉: 总之，先让我们来帮你整理一下线索吧。
安: 我先来吧。唔，「玛丽安」这个名字对我来说有种熟悉的感觉。
西摩尔: 我的保护目标是叫「玛丽安」没错，但安眠处的「玛丽安」究竟是谁的数据条目有待补全。
西摩尔: 缺少语境。我仅能通过无其他附加条件的人类极限寿命得出不是同一人的结论。
派蒙: 确实呢，已经过去好几百年了吧。
派蒙: 我的话，唔，我今天早上吃了野菇鸡肉串！
卡特皮拉: 让我来说的话，你们提到在那里遇到过富有个性而且疑似拥有人格的纯水小动物。
卡特皮拉: 不论是纯水小动物还是如此丰富的人格，先决条件都是有聪慧的纯水精灵先行理解过原型。
卡特皮拉: 安，那些纯水小动物是你具现出来的吗？
派蒙: 具现出自己熟悉的伙伴，然后在漫长的时间里一起过家家。听起来精神状态很危险欸。
安: 我才没有这样！我和小卷心菜、阿尔哥哥他们也是经历了一些事情才熟悉起来的。
卡特皮拉: 怎么样？从我们已知的事情里，看看能推导得出什么理论吧。
旅行者(空): 我准备好了。
卡特皮拉: 阿兰的妹妹玛丽安、安眠处的「玛丽安」、「红女皇」莉利丝，还有我们身边的安。关于她们…
卡特皮拉: 我们最终要得出什么结论？用什么去佐证，用什么去反驳？
？？？: 大家聚在了一起。
卡特皮拉: 诸位有什么想要提及或者补充的信息吗？
西摩尔: 之前提到过，「玛丽安」除了是安故事里的公主，也是我需要保护的人。
西摩尔: 她就是我4ACV07的设计者——阿兰·吉约丹的妹妹。
安: 关于我自身的事，骑士应该也全知道了。
派蒙: 说到这个，我们最后不是从厄里那斯那里听到了很多事情吗？
派蒙: 西摩尔也是在那里损坏的吧。
卡特皮拉: 怎么样，你能想到什么吗？

返回水仙十字结社
安: 又回来了。这次一定要让「玛丽安」…
卡特皮拉: 安小姐，就是这种精神。保持下去。
卡特皮拉: 其实我还有那么一点羡慕你。
安: 欸？
卡特皮拉: 你有希望找回过往。而我追查了数百年，却仍然找不到自己的曾经。
卡特皮拉: 所以替我这个老毛毛虫加油吧。弄清楚自己的过去，然后接受现在的自己。
安: 嗯，我会的！

准备好后，与卡特皮拉对话
